COMUNI,2022,2023,2024,2025
Agrigento,580.4,510.75,434.75,656.43
Alessandria,649.08,644.7,635.55,658.09
Ancona,711.98,701.66,695.08,717.78
Andria,579.48,581.98,579.38,575.62
Aosta,515.93,528.48,539.84,495.24
Arezzo,794.33,858.24,925.55,763.91
Ascoli Piceno,1013.99,1011.12,1018.72,1093.67
Asti,612.99,642.73,668.95,547.09
Avellino,1287.37,1208.07,1129.44,1385.92
Bari,561.35,566.39,570.31,547.22
Barletta,419.07,400.42,377.2,375.52
Belluno,1559.78,1583.72,1603.42,1534.53
Benevento,914.05,895.64,875.83,1006.73
Bergamo,1225.43,1276.32,1330.46,1230.69
Biella,1304.74,1325.42,1335.78,1282.0
Bologna,683.45,658.27,627.1,676.34
Bolzano,817.6,852.24,892.88,827.51
Brescia,904.61,907.19,909.2,878.24
Brindisi,468.36,450.74,434.88,443.33
Cagliari,545.4,524.17,500.31,615.0
Caltanissetta,496.07,469.9,443.22,489.1
Campobasso,918.47,909.84,893.82,973.77
Carbonia,641.63,609.29,572.39,700.91
Caserta,1133.91,1064.64,993.28,1215.65
Catania,592.96,574.48,548.24,540.1
Catanzaro,1075.85,994.43,908.05,1135.77
Chieti,829.8,802.53,779.28,882.55
Como,1370.98,1353.6,1340.6,1398.23
Cosenza,986.84,896.63,802.24,1037.5
Cremona,690.36,614.83,536.02,727.32
Crotone,642.98,614.88,583.7,663.98
Cuneo,941.46,954.31,961.7,908.52
Enna,704.67,680.81,649.27,753.96
Fermo,781.96,755.11,730.96,825.72
Ferrara,493.58,504.19,516.82,468.34
Firenze,795.67,768.51,740.39,828.06
Foggia,515.72,513.93,513.53,531.78
Forlì,619.54,602.09,575.77,621.26
Frosinone,1179.17,1177.56,1173.51,1199.21
Genova,1195.02,1156.86,1109.8,1266.98
Gorizia,1168.03,1137.21,1110.31,1210.88
Grosseto,493.72,499.02,501.79,451.53
Imperia,694.58,639.68,584.25,747.5
Isernia,1166.14,1103.81,1038.39,1269.25
L'Aquila,633.4,597.77,562.19,663.68
La Spezia,1123.63,1030.28,939.13,1189.26
Latina,916.6,906.97,893.81,950.84
Lecce,639.36,630.19,616.96,635.51
Lecco,1426.13,1408.65,1391.24,1484.99
Livorno,996.68,969.6,941.66,1022.29
Lodi,753.2,692.91,630.84,801.2
Lucca,1619.38,1562.29,1506.69,1743.31
Macerata,831.75,824.23,817.15,818.49
Mantova,495.5,450.3,402.91,475.26
Massa Carrara,1255.56,1199.81,1147.66,1329.27
Matera,576.75,581.92,585.42,558.13
Messina,824.12,780.2,733.28,848.56
Milano,748.53,721.27,696.65,740.04
Modena,586.83,615.81,641.83,549.19
Monza,1215.14,1212.49,1208.79,1238.52
Napoli,569.3,493.97,423.17,510.87
Novara,776.98,781.83,785.84,724.78
Nuoro,703.25,717.2,726.99,686.69
Oristano,636.5,602.76,563.83,683.14
Padova,807.34,757.8,707.81,794.21
Palermo,654.4,585.2,512.11,712.84
Parma,647.39,613.19,576.61,651.47
Pavia,678.41,636.92,590.12,698.23
Perugia,858.97,897.99,937.39,835.02
Pesaro urbino,655.27,655.2,649.47,627.37
Pescara,663.34,644.08,632.97,659.82
Piacenza,657.79,596.24,526.91,685.05
Pisa,1049.7,1060.87,1067.61,1087.49
Pistoia,1211.11,1179.54,1151.53,1283.36
Pordenone,1190.71,1157.21,1123.69,1149.1
Potenza,702.35,655.91,612.67,721.81
Prato,1005.86,991.34,971.81,1056.51
Ragusa,706.04,675.19,631.91,689.51
Ravenna ,615.75,586.63,551.21,639.92
Reggio di Calabria,725.65,678.69,627.08,793.99
Reggio nell'Emilia,704.74,685.9,664.75,725.56
Rieti,1044.2,1045.98,1056.44,1074.97
Rimini,664.76,657.14,645.05,663.55
Roma,838.36,816.71,792.82,883.27
Rovigo,659.02,665.35,672.17,650.91
Salerno,1189.29,1134.63,1080.43,1278.55
Sassari,742.45,750.79,759.63,776.03
Savona,966.71,921.18,872.75,1004.21
Siena,797.37,786.09,775.3,829.87
Siracusa,778.01,790.96,794.28,777.61
Sondrio,926.23,948.63,980.96,888.53
Taranto,509.3,485.3,464.95,522.96
Teramo,874.43,865.85,862.17,914.39
Terni,805.62,781.15,759.62,826.29
Torino,952.64,996.79,1033.18,909.38
Trani,429.03,417.3,407.01,416.27
Trapani,449.46,391.57,332.42,496.67
Trento,1078.94,1083.82,1089.6,1100.37
Treviso,1074.62,1039.7,1001.01,1080.92
Trieste,947.5,901.51,854.88,995.85
Udine,1392.59,1377.52,1370.51,1430.45
Varese,1506.02,1476.08,1452.94,1493.25
Venezia,656.9,621.98,583.81,670.05
Verbania,1915.11,1913.29,1913.02,1900.13
Vercelli,738.45,752.18,761.45,683.7
Verona,843.42,860.75,877.55,853.75
Vibo Valentia,920.87,872.97,819.3,923.98
Vicenza,1139.4,1119.49,1089.32,1175.59
Viterbo,828.91,831.9,831.61,838.68
